perturb_percent,perturb_time,controller,t_settle_after,ITAE,metric_M,rise_time,overshoot,settling_time_abs,rank_M,is_best
20,360,PID-GS,199.22222222222217,3791.8065265707987,0.6007637529333155,-40.56565656565655,5.39845617603519,559.2222222222222,1.0,True
20,360,FF,600.0,9440.15221053127,1.598028065220661,-40.56565656565655,1.545813544169075,960.0,5.0,False
20,360,PID-FF,384.6363636363636,6259.3317025015895,1.0459568647859099,-40.56565656565655,8.929542804404294,744.6363636363636,4.0,False
20,360,PID-GS-FF,295.92929292929296,4405.01326057268,0.7626017329931262,-40.56565656565655,6.967935335996995,655.929292929293,2.0,False
20,360,PID,330.5757575757576,4938.354510337044,0.8536601225153377,-40.56565656565655,7.687702789270063,690.5757575757576,3.0,False
20,390,PID-GS,0.0,3038.3039819243218,0.40117598535443566,-40.56565656565655,3.904148859453965,245.84848484848484,1.0,True
20,390,FF,570.0,6252.319519381538,1.2585855042303273,-40.56565656565655,1.7058210796637452,960.0,5.0,False
20,390,PID-FF,321.4040404040404,4460.104897787623,0.7960909116524725,-40.56565656565655,7.233866676465681,711.4040404040404,4.0,False
20,390,PID-GS-FF,235.6868686868687,3400.4529190524036,0.5965705190570787,-40.56565656565655,5.718886692474902,625.6868686868687,3.0,False
20,390,PID,232.4545454545455,3380.045331823857,0.5909996879776489,-40.56565656565655,5.6731922794733105,622.4545454545455,2.0,False
20,420,PID-GS,0.0,2558.7311853421666,0.33785345727211535,-40.56565656565655,3.766738914307809,245.84848484848484,1.0,True
20,420,FF,540.0,5055.966241215277,1.1205678925648188,-40.56565656565655,1.7479355024515142,960.0,5.0,False
20,420,PID-FF,299.5959595959596,3949.2823619454334,0.7219755532535056,-40.56565656565655,6.968014585695545,719.5959595959596,4.0,False
20,420,PID-GS-FF,218.35353535353534,2979.4053857215445,0.5359127160063536,-40.56565656565655,5.595276289081235,638.3535353535353,3.0,False
20,420,PID,200.2525252525253,2878.0783556536317,0.5057736474627537,-40.56565656565655,5.37028426799376,620.2525252525253,2.0,False
